,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
169,19.7,17.7,16.6,38.8,20.9,34.5,23.3,50.6,38.3,42.4,69.6,103.4,26.8,36.7,71.7,45.6,53.7,59.9
170,23.6,21.7,19.8,40.7,22.1,41.8,28.9,65.5,48,53.7,91.6,151.7,32.2,45.1,101.7,58.9,78.5,80.8
171,36.1,34.9,30.3,45.7,25.1,65.5,48.6,121.1,81.9,93.9,175.6,376.6,49.9,73.2,232.5,108,193.1,164.1
172,45,44.8,37.7,48.5,26.8,82.8,63.6,166.4,107.9,125.4,245.9,603.1,62.6,94.2,356.9,148,307.9,236.8
173,16.3,14.3,13.7,36.9,19.8,28.3,18.5,38.6,30.3,33.1,52.2,69.2,22.1,29.6,49.8,34.8,36.1,43.8
174,11.2,9.3,9.4,33.3,17.6,18.9,11.6,22.2,18.8,20.1,29.2,30.7,14.9,19.2,23.7,20.2,16.1,23.2
175,11.4,9.5,9.6,33.4,17.7,19.3,11.9,22.9,19.2,20.6,30,31.9,15.2,19.6,24.6,20.8,16.8,24
176,12.5,10.6,10.5,34.3,18.2,21.3,13.3,26.2,21.6,23.3,34.7,39,16.8,21.8,29.5,23.8,20.4,28
177,11.5,9.7,9.7,33.6,17.8,19.6,12.1,23.4,19.6,21,30.7,33,15.5,19.9,25.4,21.2,17.3,24.6
178,12.4,10.5,10.4,34.2,18.2,21.1,13.2,25.9,21.4,23,34.2,38.3,16.6,21.6,29.1,23.5,20.1,27.6
179,14.5,12.5,12.2,35.7,19.1,24.9,16,32.4,26.1,28.3,43.5,53.6,19.5,25.8,39.4,29.4,28,35.9
180,12.9,11,10.9,34.6,18.4,22.1,13.9,27.5,22.6,24.4,36.5,42,17.4,22.7,31.6,24.9,22,29.7
181,13.2,11.3,11.1,34.8,18.5,22.6,14.2,28.3,23.2,25,37.7,43.8,17.7,23.2,32.9,25.7,23,30.7
182,15,13,12.6,36,19.2,25.8,16.6,34,27.2,29.5,45.7,57.4,20.2,26.8,42,30.8,30,37.9
183,14.3,12.4,12.1,35.6,19,24.7,15.8,32,25.7,27.9,42.8,52.4,19.3,25.5,38.7,28.9,27.4,35.3
184,14.3,12.3,12,35.6,19,24.6,15.7,31.8,25.6,27.8,42.6,52.1,19.3,25.4,38.4,28.8,27.2,35.1
185,13.3,11.4,11.2,34.9,18.6,22.8,14.4,28.8,23.5,25.4,38.3,44.8,17.9,23.5,33.5,26.1,23.5,31.2
186,13.9,12,11.7,35.3,18.8,23.9,15.2,30.7,24.8,26.9,41,49.3,18.8,24.7,36.5,27.8,25.8,33.6
187,14.2,12.2,11.9,35.5,18.9,24.4,15.6,31.5,25.4,27.6,42.2,51.3,19.1,25.2,37.9,28.5,26.8,34.7
188,17.7,15.7,14.9,37.7,20.2,30.8,20.4,43.3,33.5,36.8,59.1,82.2,24,32.5,58.2,39.1,42.7,50.1
